label,Scientific Name,Common Name(s),filename,URL
1,Phyllostachys edulis (Carr.) Houz.,pubescent bamboo,1001-1059,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=506646
2,Aesculus chinensis,Chinese horse chestnut,1060-1122,http://www.ars-grin.gov/cgi-bin/npgs/html/taxon.pl?1625
3,Berberis anhweiensis Ahrendt,Anhui Barberry,1552-1616,http://asaweb.huh.harvard.edu:8080/databases/specimens?id=277371
4,Cercis chinensis,Chinese redbud,1123-1194,http://www.ag.auburn.edu/hort/landscape/dbpages/306.html
5,Indigofera tinctoria L.,true indigo,1195-1267,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=26750
6,Acer Palmatum,Japanese maple,1268-1323,http://en.wikipedia.org/wiki/Acer_palmatum
7,Phoebe nanmu (Oliv.) Gamble,Nanmu,1324-1385,http://www.ars-grin.gov/cgi-bin/npgs/html/taxon.pl?28039
8,Kalopanax septemlobus (Thunb. ex A.Murr.) Koidz.,castor aralia,1386-1437,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=565257
9,Cinnamomum japonicum Sieb.,Chinese cinnamon,1497-1551,http://en.wikipedia.org/wiki/Cinnamomum_japonicum
10,Koelreuteria paniculata Laxm.,goldenrain tree,1438-1496,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=503286
11,Ilex macrocarpa Oliv.,Big-fruited Holly,2001-2050,http://asaweb.huh.harvard.edu:8080/databases/specimens?id=159529
12,Pittosporum tobira (Thunb.) Ait. f.,Japanese cheesewood,2051-2113,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=24067
14,Chimonanthus praecox L.,wintersweet,2114-2165,http://www.ars-grin.gov/cgi-bin/npgs/html/taxon.pl?10204
15,Cinnamomum camphora (L.) J. Presl,camphortree,2166-2230,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=18175
16,Viburnum awabuki K.Koch,Japan Arrowwood,2231-2290,http://www.ars-grin.gov/cgi-bin/npgs/html/taxon.pl?80375
17,Osmanthus fragrans Lour.,sweet osmanthus,2291-2346,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=505977
18,Cedrus deodara (Roxb.) G. Don,deodar,2347-2423,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=183408
19,Ginkgo biloba L.,"ginkgo, maidenhair tree",2424-2485,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=183269
20,Lagerstroemia indica (L.) Pers.,"Crape myrtle, Crepe myrtle",2486-2546,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=27110
21,Nerium oleander L.,oleander,2547-2612,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=30184
22,Podocarpus macrophyllus (Thunb.) Sweet,yew plum pine,2616-2675,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=183490
23,Prunus serrulata Lindl. var. lannesiana auct.,Japanese Flowering Cherry,3001-3055,http://www.ars-grin.gov/cgi-bin/npgs/html/taxon.pl?104754
24,Ligustrum lucidum Ait. f.,Glossy Privet,3056-3110,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=503450
25,Tonna sinensis M. Roem.,Chinese Toon,3111-3175,http://www.ars-grin.gov/cgi-bin/npgs/html/taxon.pl?36754
26,Prunus persica (L.) Batsch,peach,3176-3229,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=508766
27,Manglietia fordiana Oliv.,Ford Woodlotus,3230-3281,http://www.ars-grin.gov/cgi-bin/npgs/html/taxon.pl?23361
28,Acer buergerianum Miq.,trident maple,3282-3334,http://www.ars-grin.gov/cgi-bin/npgs/html/taxon.pl?1088
29,Mahonia bealei (Fortune) Carr.,Beale's barberry,3335-3389,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=18846
30,Magnolia grandiflora L.,southern magnolia,3390-3446,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=18074
31,Populus ×canadensis Moench,Canadian poplar,3447-3510,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=22457
32,Liriodendron chinense (Hemsl.) Sarg.,Chinese tulip tree,3511-3563,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=18086
33,Citrus reticulata Blanco,tangerine,3566-3621,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=28888
